Supplementary Table S1:422 Curated Assembled Genome Collection											
File	Data Source	Source Category	Species	Total_length (bp)	Gap_Number	N Proportion	Contig_Sequences	Max_Scaffold (bp)	N50 (bp)	BUSCO	Telomere_Count
W1735.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	393911431	26	6.60E-06	0	45538047	32283366	99.8	20
W1731.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	388318488	6	1.55E-06	0	44651465	32385127	99.9	18
W1668.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400191713	23	5.75E-06	0	44472220	32747229	99.8	21
W1107.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	393945427	23	5.84E-06	0	43531087	33415097	99.9	21
W0627.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	392277378	12	3.06E-06	0	45703430	32708321	99.8	21
W0179.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	404427253	7	1.73E-06	0	46848107	33410134	99.9	18
W3088.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408584761	42	1.03E-05	0	45621527	33565526	99.8	21
W2320.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	401529993	73	1.82E-05	0	45758201	33220343	99.7	16
W2311.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	419045085	94	2.24E-05	0	45918128	36133088	99.8	20
W2036.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	386079770	15	3.89E-06	0	44773630	31802448	99.8	20
W2005.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405178883	44	1.09E-05	0	44531490	34570616	99.8	22
W1748.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400472815	68	1.70E-05	0	45549456	33346557	99.8	10
W1719.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400855946	39	9.73E-06	0	45065966	32892018	99.8	19
W1677.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	393848965	12	3.05E-06	0	44837551	31950253	99.9	20
W1556.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408807155	53	1.30E-05	0	45199791	33569314	99.8	18
W1552.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	412943716	33	7.99E-06	0	46346652	33791520	99.8	20
W1550.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	417103293	25	5.99E-06	0	45723600	32748196	99.8	21
W1536.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	381118062	37	9.71E-06	0	44294848	30969179	99.8	21
W0166.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408565227	36	8.81E-06	0	46928764	33795440	99.8	20
W0164.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	412831144	59	1.43E-05	0	45185139	33588228	99.8	21
W0157.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	395772735	22	5.56E-06	0	44296935	31328418	99.8	21
W0137.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	379457656	27	7.12E-06	0	43588917	31618199	99.8	19
W0135.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	379463092	26	6.85E-06	0	43287990	30809184	99.8	23
W0133.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	380792932	24	6.30E-06	0	44847736	30928460	99.8	20
W3086.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	413937249	55	1.33E-05	0	46549638	35619534	99.8	17
W3082.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	407589310	72	1.77E-05	0	49495459	34414352	99.8	17
W3071.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408404878	36	8.81E-06	0	45366177	32804490	99.9	20
W3046.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	439617505	133	3.03E-05	0	51599747	37481286	99.7	8
W3040.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	409430348	75	1.83E-05	0	46937389	33833653	99.8	13
W2319.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	392176505	30	7.65E-06	0	43962488	32881896	99.9	20
W2275.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	404774783	1	2.47E-07	0	46528754	32968072	99.9	18
W1919.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	402345563	10	2.49E-06	0	44725391	32557770	99.9	18
W1880.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	402645345	24	5.96E-06	0	44866091	33300362	99.8	21
W1777.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	402472566	52	1.29E-05	0	45880171	34111361	99.8	18
W1742.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	390662231	37	9.47E-06	0	43839361	32676624	99.8	20
W1726.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	392888760	15	3.82E-06	0	43789586	32395494	99.8	20
W1679.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	395232693	16	4.05E-06	0	43839233	32513365	99.9	22
W1619.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	396752151	8	2.02E-06	0	44720449	34383033	99.9	19
W0634.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	406096108	42	1.03E-05	0	47492934	32997444	99.8	14
W0632.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	394551614	29	7.35E-06	0	44065380	32281993	99.9	21
W0630.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	384575957	14	3.64E-06	0	44207985	31601700	99.9	16
W0573.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	385249953	58	1.51E-05	0	44304351	31687563	99.8	21
W0108.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	401641717	44	1.10E-05	0	45434499	34035142	99.8	20
W3101.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	340197179	59	1.73E-05	0	38476873	28524961	99.7	14
W3038.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	404875203	59	1.46E-05	0	45547560	32395910	99.6	13
W3009.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	410056568	41	1.00E-05	0	45140895	34460982	99.8	19
W2332.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	397584732	27	6.79E-06	0	44490695	32891542	99.8	19
W2305.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	387827547	20	5.16E-06	0	43468537	31514338	99.8	16
W2022.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	397572529	30	7.55E-06	0	45591439	32824789	99.8	17
W1952.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	381979259	5	1.31E-06	0	44287910	30781932	99.9	9
W1809.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	379876000	39	1.03E-05	0	44239952	31441048	99.8	21
W1093.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405148881	31	7.65E-06	0	45342443	34092841	99.8	18
W0147.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	386008828	25	6.48E-06	0	43703405	31100588	99.6	19
W0145.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405060725	40	9.88E-06	0	44642663	33505148	99.9	19
W0143.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	397512454	55	1.38E-05	0	44862127	34035368	99.8	21
W3096.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408820793	49	1.20E-05	0	45886070	33372745	99.8	15
W3092.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	423077903	97	2.29E-05	0	45838554	34726087	99.8	13
W3090.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	416743070	31	7.44E-06	0	45700036	35870423	99.8	15
W3063.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	447216430	124	2.77E-05	0	47160006	37605208	99.8	15
W3054.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	407268546	18	4.42E-06	0	47161595	33718565	99.8	19
W3052.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	412126937	28	6.79E-06	0	45660200	34702832	99.9	21
W3007.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	417266218	674	2.98E-05	0	46210453	34098201	99.5	5
W2296.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	340079321	21	6.18E-06	0	38719167	27931229	99.7	19
W2267.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	407070587	12	2.95E-06	0	45212537	33434886	99.8	19
W1890.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	411296722	49	1.19E-05	0	46218475	33942567	99.8	18
W1865.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	396341841	26	6.56E-06	0	45186521	34347909	99.9	15
W1750.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	409393723	33	8.06E-06	0	44629419	33882166	99.8	17
W1736.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	393054494	39	9.92E-06	0	43848012	32912720	99.8	19
W1732.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	403298540	43	1.07E-05	0	47585339	32967162	99.8	18
W1214.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408094745	70	1.72E-05	0	46976164	33490337	99.8	15
W0596.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400949133	37	9.23E-06	0	44567801	33391455	99.8	20
W0594.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	403629954	18	4.46E-06	0	44983591	33555887	99.8	22
W0590.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	397496140	63	1.58E-05	0	44751269	33066816	99.8	17
W0149.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400617291	41	1.02E-05	0	45314720	32861580	99.8	23
GP635.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	383357098	10	2.61E-06	0	44713341	31072604	99.8	16
GP543.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	381590748	13	3.41E-06	0	44243707	31016020	99.8	16
GP523.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	373199728	23	6.16E-06	0	43278726	30064298	99.8	11
HP519.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	390498173	4	1.02E-06	0	43777824	32388689	99.8	11
GP119.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	388987460	827	7.22E-06	0	44522462	31615314	99.7	11
534M.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	394563969	33	8.36E-06	0	44496721	31842137	99.9	17
HP436.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	373818051	96	2.57E-05	0	41729477	30752609	99.9	15
Gla4.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	395421328	6	1.52E-06	0	44944451	32171019	99.8	21
GP58.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	393600855	19	4.83E-06	0	44052215	32456701	99.8	19
GP117.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	376099389	26	6.91E-06	0	43260249	30965122	99.9	19
GP524.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	391933435	28	7.14E-06	0	44344757	31889940	99.8	22
GP100.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	395623673	20	5.06E-06	0	44366828	32365651	99.8	20
GP680.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	380850941	21	5.51E-06	0	43589419	30939192	99.8	14
GP622.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	391237237	32	8.18E-06	0	44359838	32143134	99.8	8
GP505.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_sativa	373234264	87	2.33E-05	0	44359851	30438169	99.9	20
CW06.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	399678207	11	2.55E-06	0	45643143	33159656	99.1	21
CW11.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	407636272	11	2.70E-06	0	45084654	32691738	99.8	19
CW01.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	409075086	3	7.33E-07	0	46307808	32745461	98	21
CW09.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	410453808	12	2.92E-06	0	45126944	34700384	99.8	18
CW07.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	409425047	25	6.11E-06	0	45990030	34105225	99.8	18
CW18.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	454872493	162	3.56E-05	0	50397478	37554121	99.8	14
CW15.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	414430799	14	3.38E-06	0	47033559	33713783	99.8	19
CW03.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	390622976	6	1.54E-06	0	44863847	32048218	99.8	21
CW14.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	418345388	18	4.30E-06	0	45697906	35261762	99.8	18
CW22.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	410913335	21	5.11E-06	0	51662894	34300696	98.6	13
CW13.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_rufipogon	414656667	12	2.89E-06	0	47530083	33668208	99.8	13
18XHB-57.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	397878488	27	6.79E-06	0	44774159	32783001	99.8	18
Cempo-Abang.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	398149443	18	4.52E-06	0	44770600	32448332	99.8	21
SL084.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	395429882	2	5.06E-07	0	44930519	32129071	99.9	18
SL167.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	377349307	0	0	0	43816635	30204767	99.9	23
SL170.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	378772224	1	2.64E-07	0	43780448	30916417	99.9	22
SL187.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	382960855	2	5.22E-07	0	44094086	31516176	99.9	21
SL190.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	386347981	3	7.77E-07	0	43879521	31699455	99.8	20
XL628S.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	397857002	22	5.53E-06	0	45167097	31999728	99.8	22
J4155S.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	396358648	2	4.49E-07	0	45087892	31904903	99.8	22
PI653432.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	401022700	16	3.99E-06	0	44720000	32847354	99.9	21
SL010.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	394761130	3	7.60E-07	0	43031551	32938070	99.9	22
SL039.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	383324072	1	2.61E-07	0	44167577	31427306	99.9	22
SL177.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	384634841	4	1.04E-06	0	44402028	31455137	99.9	21
Zag.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	376884104	11	2.92E-06	0	43748883	30677124	99.9	21
CX20.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	397218468	24	6.04E-06	0	45312942	31784248	99.9	22
SL019.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	381642733	2	5.24E-07	0	44142011	30783098	99.9	21
SL133.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	396280178	6	1.51E-06	0	45322609	32395318	99.9	20
SL148.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	396819861	3	7.56E-07	0	45147969	32406587	99.9	21
18XHB-49.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	384232603	26	6.77E-06	0	42847524	31649574	99.8	20
NJ11.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	395824914	10	2.53E-06	0	45046039	32515138	99.9	20
SL001.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	378471046	1	2.64E-07	0	43850071	30601850	99.9	21
SL028.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	381247426	1	2.62E-07	0	44055724	30534884	99.9	22
SL044.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	393965779	2	5.08E-07	0	44783739	31288238	99.9	19
SL102.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	387701374	2	5.16E-07	0	44025469	31731856	99.9	23
YCW03.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	379437709	18	4.74E-06	0	43579530	30909282	99.8	20
SL022.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	389671706	0	0	0	44391183	31633524	99.8	22
SL121.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	385960408	0	0	0	43334309	31513755	99.8	23
SL129.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	379038650	2	5.28E-07	0	43641417	30933437	99.9	21
SL173.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	394819207	1	2.53E-07	0	44651832	32274648	99.9	22
18WR-118.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	374552882	42	1.12E-05	0	43222736	30253009	99.9	22
Cempo-Ireng.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	396447437	26	6.56E-06	0	44369536	32168157	99.8	22
CX3.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	397765371	14	3.52E-06	0	45329638	31849993	99.9	20
LK638S.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	396192104	0	0	0	45027266	32491896	99.8	23
PI653439.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	387063971	4	1.03E-06	0	44496494	31452056	99.8	21
SL032.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	380446245	3	7.89E-07	0	43816860	31780851	99.9	22
SL126.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	379289697	3	7.91E-07	0	43778139	30376517	99.9	23
SL174.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	407066901	1	2.46E-07	0	44733525	32912143	99.9	17
SL202.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	378474317	1	2.64E-07	0	43684421	30411410	99.9	23
YZ-2.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	400165356	14	3.50E-06	0	44358732	32069478	99.9	22
13-65.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	376512216	20	5.31E-06	0	43836109	30287009	99	19
SL127.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	395274593	1	2.53E-07	0	44457606	32469800	99.9	21
SL203.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	388990205	3	7.71E-07	0	43294707	32034475	99.8	21
18XHB-83.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	396283351	28	7.07E-06	0	44153183	31167413	99.9	21
Balatinaw.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	401245344	14	3.49E-06	0	44511793	33372939	99.9	22
HuaZhan.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	394921689	1	2.53E-07	0	44784595	31977090	99.9	21
Pulut-Hitam-2.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	382878921	14	3.66E-06	0	44523135	31810087	99.9	23
SL120.fasta.gz	10.1038/s41588-025-02365-1	Research Article	Oryza_sativa	399352577	2	5.01E-07	0	44757904	32239310	99.9	21
TG90.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	380595034	156	4.10E-05	53	43509475	30925112	99.8	14
TG87.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	384713972	155	4.03E-05	44	43259710	35183321	99.8	12
TG78.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	411579173	266	6.46E-05	127	49772412	33267318	99.8	8
TG70.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	397485897	198	4.98E-05	46	44444285	32751650	99.9	8
TG59.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	395017102	205	5.19E-05	68	43412763	32200210	99.9	10
TG51.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	396453872	168	4.24E-05	40	44952367	31515899	99.9	12
TG5.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	399951279	201	5.03E-05	71	47437529	30953483	99.9	3
TG46.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	380439825	120	3.15E-05	45	50823017	31337524	99.9	11
TG22.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	377117019	111	2.94E-05	56	43683116	29966810	99.8	8
TG14.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	379088728	149	3.93E-05	47	43945520	30663618	99.9	10
QUAN.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	394400455	191	4.84E-05	85	45224332	32563223	99.9	8
TG88.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	391722880	226	5.77E-05	54	46813227	32223709	99.8	8
TG80.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	393834516	197	5.00E-05	36	43446692	32228458	99.9	9
TG77.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	398417899	168	4.22E-05	32	43571351	33344471	99.9	8
TG68.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	394792536	157	3.98E-05	37	44256293	31711436	99.9	6
TG60.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	384319609	180	4.68E-05	44	42814273	32298025	99.8	12
TG56.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	400237220	153	3.82E-05	28	47070541	33092161	99.9	6
TG49.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	386169982	222	5.75E-05	81	42646065	30964768	99.8	11
TG2.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	377532188	137	3.63E-05	81	43133921	35383889	99.9	11
TG13.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	398508977	209	5.24E-05	44	48294810	33730975	99.9	6
WW8.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	382042065	190	4.97E-05	46	43784419	30539015	99.8	9
TG81.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	381077974	191	5.01E-05	77	43496030	30496732	99.8	11
TG76.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	391935861	147	3.75E-05	27	44922741	32902954	99.9	11
TG61.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	399105241	152	3.81E-05	34	45173179	33378845	99.9	11
TG33.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	398163435	162	4.07E-05	36	44344315	33901234	99.9	10
TG3.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	382079124	175	4.58E-05	77	44092117	30508673	99.8	6
TG24.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	395621149	190	4.80E-05	66	45214978	30905011	99.9	8
TG86.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	393738832	207	5.26E-05	43	43437675	32002143	99.8	9
TG58.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	396943800	216	5.44E-05	59	48058969	35207320	99.8	12
TG50.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	400386333	283	7.07E-05	127	44668714	31133982	99.9	11
TG4.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	381356505	153	4.01E-05	64	47464210	36054142	99.9	14
TG34.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	380997240	121	3.18E-05	34	42995326	30320164	99.9	11
TG15.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	383019686	184	4.80E-05	51	44474018	32275811	99.8	14
SE-33.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	384344327	396	0.000103033	126	43647162	31053478	99.8	4
TG84.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	393192242	182	4.63E-05	51	60255444	31539387	99.9	9
TG64.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	394498882	197	4.99E-05	40	43460774	32215704	99.9	8
TG6.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	388582842	172	4.43E-05	28	43172690	30874652	99.8	11
TG52.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	392651542	224	5.70E-05	60	42778447	32597057	99.9	9
TG45.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	399499122	235	5.88E-05	70	47197337	30440971	99.9	6
TG29.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	377505834	137	3.63E-05	56	43332147	29985767	99.8	11
TG21.fixed.fa	10.1101/gr.276015.121	Research Article	Oryza_sativa	395535492	211	5.33E-05	62	50946981	31970734	99.9	6
